model,input_tokens,output_tokens,cost_usd,timestamp
nvidia/nemotron-3-super-120b-a12b-20230311:free,702,301,0.0,2026-05-16T03:39:31.498500+00:00
llama-3.3-70b-versatile,175,75,0.0,2026-05-16T03:39:32.095577+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,724,311,0.0,2026-05-16T03:40:09.740235+00:00
MiniMax-M2.7-highspeed,340,146,0.000605,2026-05-16T03:40:15.045723+00:00
deepseek-chat,344,148,0.0,2026-05-16T03:40:21.380720+00:00
deepseek-chat,336,145,0.0,2026-05-16T03:46:12.826783+00:00
MiniMax-M2.7-highspeed,2700,1158,0.006057,2026-05-16T03:47:30.252958+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,914,393,0.0,2026-05-16T03:54:12.479068+00:00
deepseek-chat,218,94,0.0,2026-05-16T03:56:06.096335+00:00
MiniMax-M2.7-highspeed,343,148,0.000874,2026-05-16T03:56:13.825723+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,604,259,0.0,2026-05-16T03:57:59.010528+00:00
llama-3.3-70b-versatile,175,76,0.0,2026-05-16T03:57:59.619349+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,896,384,0.0,2026-05-16T04:02:04.989440+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,469,202,0.0,2026-05-16T04:02:10.274700+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,590,253,0.0,2026-05-16T04:14:52.689175+00:00
llama-3.3-70b-versatile,442,190,0.0,2026-05-16T04:14:54.482892+00:00
MiniMax-M2.7-highspeed,1631,700,0.005261,2026-05-16T04:15:33.755359+00:00
MiniMax-M2.7-highspeed,2023,868,0.003263,2026-05-16T04:17:47.417611+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,609,261,0.0,2026-05-16T04:22:49.802798+00:00
llama-3.3-70b-versatile,392,169,0.0,2026-05-16T04:22:51.783921+00:00
deepseek-chat,475,204,0.0,2026-05-16T04:23:10.113369+00:00
llama-3.3-70b-versatile,392,168,0.0,2026-05-16T04:28:23.731653+00:00
deepseek-chat,938,403,0.0,2026-05-16T04:28:52.500677+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,2714,1164,0.0,2026-05-16T04:29:06.687057+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1093,469,0.0,2026-05-16T04:37:58.569934+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,494,213,0.0,2026-05-16T04:38:04.752030+00:00
MiniMax-M2.7-highspeed,1429,613,0.002313,2026-05-16T04:48:00.181933+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,868,372,0.0,2026-05-16T04:56:06.892112+00:00
MiniMax-M2.7-highspeed,844,362,0.002661,2026-05-16T04:56:30.014133+00:00
llama-3.3-70b-versatile,484,208,0.0,2026-05-16T05:02:19.950724+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,366,157,0.0,2026-05-16T05:02:31.794019+00:00
MiniMax-M2.7-highspeed,805,346,0.002515,2026-05-16T05:02:38.368170+00:00
deepseek-chat,522,225,0.0,2026-05-16T05:02:42.312258+00:00
MiniMax-M2.7-highspeed,1196,513,0.003913,2026-05-16T05:02:45.628166+00:00
MiniMax-M2.7-highspeed,1149,493,0.003731,2026-05-16T05:02:45.934816+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,980,421,0.0,2026-05-16T05:04:32.964232+00:00
llama-3.3-70b-versatile,95,41,0.0,2026-05-16T05:07:05.703849+00:00
MiniMax-M2.7-highspeed,1138,489,0.003722,2026-05-16T05:07:32.334934+00:00
llama-3.3-70b-versatile,429,185,0.0,2026-05-16T05:17:49.600758+00:00
MiniMax-M2.7-highspeed,2062,885,0.003263,2026-05-16T05:18:19.456608+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1457,625,0.0,2026-05-16T05:18:46.617208+00:00
deepseek-chat,3,2,0.0,2026-05-16T05:21:16.964531+00:00
deepseek-chat,9,5,0.0,2026-05-16T05:21:28.169722+00:00
deepseek-chat,9,5,0.0,2026-05-16T05:21:44.680508+00:00
deepseek-chat,105,45,0.0,2026-05-16T05:22:16.984721+00:00
deepseek-chat,3,2,0.0,2026-05-16T05:22:48.835864+00:00
MiniMax-M2.7-highspeed,1178,506,0.003804,2026-05-16T05:25:49.306147+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T05:27:57.190700+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,564,242,0.0,2026-05-16T05:28:30.055322+00:00
llama-3.3-70b-versatile,495,213,0.0,2026-05-16T05:28:33.172033+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,384,165,0.0,2026-05-16T05:28:49.764676+00:00
llama-3.3-70b-versatile,706,303,0.0,2026-05-16T05:34:10.034963+00:00
MiniMax-M2.7-highspeed,542,233,0.001514,2026-05-16T05:34:20.128956+00:00
